OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
1,POINT (-176.64247991680693 51.88358205584249),AIRPORT,NONE,ALASKA,ALEUTIANS WEST,ADAK ISLAND,ADAK,PU,19.5,W ALEUTIAN ISLS,A1,N,,122.9,,Y
2,POINT (-154.1825555560042 56.93869083318543),AIRPORT,NONE,ALASKA,KODIAK ISLAND,AKHIOK,AKHIOK,PU,44.40000153,KODIAK,,N,122.8,122.8,N,Y
3,POINT (-161.49332916717108 60.913809722212115),AIRPORT,NONE,ALASKA,BETHEL,AKIACHAK,AKIACHAK,PU,22.79999924,MC GRATH,,N,,122.9,N,Y
4,POINT (-161.43507722176793 60.90786472213137),SEAPLANE BASE,NONE,ALASKA,BETHEL,AKIACHAK,AKIACHAK,PU,18,MC GRATH,,N,,122.9,N,N
5,POINT (-161.23058333271237 60.9028972221052),AIRPORT,NONE,ALASKA,BETHEL,AKIAK,AKIAK,PU,39.79999924,MC GRATH,,N,,122.9,N,Y
6,POINT (-165.77838333334432 54.1339000001289),SEAPLANE BASE,NONE,ALASKA,ALEUTIANS EAST,AKUTAN,AKUTAN,PU,0,DUTCH HARBOR,,N,,122.9,N,Y
7,POINT (-165.60410833296703 54.144611110832585),AIRPORT,NONE,ALASKA,ALEUTIANS EAST,AKUTAN,AKUTAN,PU,129.30000305,DUTCH HARBOR,,N,,122.9,,Y
8,POINT (-164.7221944443892 62.683055555794056),AIRPORT,NONE,ALASKA,KUSILVAK,ALAKANUK,ALAKANUK,PU,21.70000076,BETHEL,,N,,122.9,N,Y
9,POINT (-158.55775527825654 59.26314583283538),AIRPORT,NONE,ALASKA,BRISTOL BAY,ALEKNAGIK,TRIPOD,PU,225,KODIAK,,N,,122.9,N,N
10,POINT (-158.6235891672528 59.27397805588907),SEAPLANE BASE,NONE,ALASKA,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK,PU,7,KODIAK,100LLMOGAS,N,,122.9,N,N
11,POINT (-158.61786666712754 59.28255555590935),AIRPORT,NONE,ALASKA,DILLINGHAM,ALEKNAGIK,ALEKNAGIK /NEW,PU,63,KODIAK,,N,,122.9,,Y
12,POINT (-158.5972002781277 59.28092333278552),AIRPORT,NONE,ALASKA,BRISTOL BAY,ALEKNAGIK,ALEKNAGIK MISSION STRIP,PR,150,KODIAK,,N,,122.9,N,N
13,POINT (-152.62216666667146 66.55183333310588),AIRPORT,NONE,ALASKA,YUKON-KOYUKUK,ALLAKAKET,ALLAKAKET,PU,441.1000061,FAIRBANKS,,N,,122.9,,Y
14,POINT (-157.8571558329641 67.10620055596925),AIRPORT,NONE,ALASKA,NORTHWEST ARCTIC,AMBLER,AMBLER,PU,292.6000061,FAIRBANKS,,N,,122.7,N,Y
15,POINT (-151.17723333331023 65.10398194400983),AIRPORT,NONE,ALASKA,YUKON-KOYUKUK,AMERICAN CREEK,AMERICAN CREEK,PU,513,FAIRBANKS,,N,,122.9,N,N
16,POINT (-153.81536055620035 57.471493611100925),SEAPLANE BASE,NONE,ALASKA,KODIAK ISLAND,AMOOK BAY,AMOOK BAY,PR,0,KODIAK,,N,,,N,N
